..   | 0.00000000
.a   | 0.13767053
.b   | 0.04077046
.c   | 0.04813786
.d   | 0.05275809
.e   | 0.04779446
.f   | 0.01301783
.g   | 0.02088471
.h   | 0.02728436
.i   | 0.01844972
.j   | 0.07560953
.k   | 0.09249836
.l   | 0.04907439
.m   | 0.07923079
.n   | 0.03577561
.o   | 0.01229982
.p   | 0.01607717
.q   | 0.00287204
.r   | 0.05116599
.s   | 0.06415259
.t   | 0.04083289
.u   | 0.00243499
.v   | 0.01173790
.w   | 0.00958387
.x   | 0.00418319
.y   | 0.01670153
.z   | 0.02900134
a.   | 0.19595691
aa   | 0.01640844
ab   | 0.01596577
ac   | 0.01387044
ad   | 0.03075107
ae   | 0.02042202
af   | 0.00395455
ag   | 0.00495795
ah   | 0.06882101
ai   | 0.04869411
aj   | 0.00516453
ak   | 0.01676258
al   | 0.07460528
am   | 0.04822193
an   | 0.16048399
ao   | 0.00185923
ap   | 0.00241995
aq   | 0.00177069
ar   | 0.09632581
as   | 0.03299395
at   | 0.02027446
au   | 0.01124391
av   | 0.02461266
aw   | 0.00475136
ax   | 0.00537111
ay   | 0.06049875
az   | 0.01283754
b.   | 0.04310019
ba   | 0.12136106
bb   | 0.01436673
bc   | 0.00037807
bd   | 0.02457467
be   | 0.24763705
bf   | 0.00000000
bg   | 0.00000000
bh   | 0.01550095
bi   | 0.08204159
bj   | 0.00037807
bk   | 0.00000000
bl   | 0.03894140
bm   | 0.00000000
bn   | 0.00151229
bo   | 0.03969754
bp   | 0.00000000
bq   | 0.00000000
br   | 0.31833648
bs   | 0.00302457
bt   | 0.00075614
bu   | 0.01701323
bv   | 0.00000000
bw   | 0.00000000
bx   | 0.00000000
by   | 0.03137996
bz   | 0.00000000
c.   | 0.02746319
ca   | 0.23074745
cb   | 0.00000000
cc   | 0.01189128
cd   | 0.00028313
ce   | 0.15600227
cf   | 0.00000000
cg   | 0.00056625
ch   | 0.18799547
ci   | 0.07672707
cj   | 0.00084938
ck   | 0.08946772
cl   | 0.03284258
cm   | 0.00000000
cn   | 0.00000000
co   | 0.10758777
cp   | 0.00028313
cq   | 0.00311438
cr   | 0.02151755
cs   | 0.00141563
ct   | 0.00990940
cu   | 0.00990940
cv   | 0.00000000
cw   | 0.00000000
cx   | 0.00084938
cy   | 0.02944507
cz   | 0.00113250
d.   | 0.09388646
da   | 0.23708151
db   | 0.00018195
dc   | 0.00054585
dd   | 0.02711063
de   | 0.23344250
df   | 0.00090975
dg   | 0.00454876
dh   | 0.02147016
di   | 0.12263464
dj   | 0.00163755
dk   | 0.00054585
dl   | 0.01091703
dm   | 0.00545852
dn   | 0.00564047
do   | 0.06877729
dp   | 0.00000000
dq   | 0.00018195
dr   | 0.07714702
ds   | 0.00527656
dt   | 0.00072780
du   | 0.01673945
dv   | 0.00309316
dw   | 0.00418486
dx   | 0.00000000
dy   | 0.05767831
dz   | 0.00018195
e.   | 0.19502522
ea   | 0.03324683
eb   | 0.00592469
ec   | 0.00749155
ed   | 0.01880233
ee   | 0.06223376
ef   | 0.00401508
eg   | 0.00612055
eh   | 0.00744259
ei   | 0.04005288
ej   | 0.00269304
ek   | 0.00871566
el   | 0.15903638
em   | 0.03765363
en   | 0.13097978
eo   | 0.01317142
ep   | 0.00406405
eq   | 0.00068550
er   | 0.09587230
es   | 0.04215835
et   | 0.02839935
eu   | 0.00337854
ev   | 0.02267052
ew   | 0.00244822
ex   | 0.00646330
ey   | 0.05239191
ez   | 0.00886256
f.   | 0.08839779
fa   | 0.26740331
fb   | 0.00000000
fc   | 0.00000000
fd   | 0.00000000
fe   | 0.13591160
ff   | 0.04861878
fg   | 0.00110497
fh   | 0.00110497
fi   | 0.17679558
fj   | 0.00000000
fk   | 0.00220994
fl   | 0.02209945
fm   | 0.00000000
fn   | 0.00441989
fo   | 0.06629834
fp   | 0.00000000
fq   | 0.00000000
fr   | 0.12596685
fs   | 0.00662983
ft   | 0.01988950
fu   | 0.01104972
fv   | 0.00000000
fw   | 0.00441989
fx   | 0.00000000
fy   | 0.01546961
fz   | 0.00220994
g.   | 0.05604567
ga   | 0.17125065
gb   | 0.00155682
gc   | 0.00000000
gd   | 0.00985989
ge   | 0.17332641
gf   | 0.00051894
gg   | 0.01297353
gh   | 0.18681889
gi   | 0.09859886
gj   | 0.00155682
gk   | 0.00000000
gl   | 0.01660612
gm   | 0.00311365
gn   | 0.01401142
go   | 0.04307213
gp   | 0.00000000
gq   | 0.00000000
gr   | 0.10430721
gs   | 0.01556824
gt   | 0.01608718
gu   | 0.04411002
gv   | 0.00051894
gw   | 0.01349248
gx   | 0.00000000
gy   | 0.01608718
gz   | 0.00051894
h.   | 0.31630777
ha   | 0.29464286
hb   | 0.00105042
hc   | 0.00026261
hd   | 0.00315126
he   | 0.08849790
hf   | 0.00026261
hg   | 0.00026261
hh   | 0.00013130
hi   | 0.09571954
hj   | 0.00118172
hk   | 0.00380777
hl   | 0.02429097
hm   | 0.01536239
hn   | 0.01811975
ho   | 0.03768382
hp   | 0.00013130
hq   | 0.00013130
hr   | 0.02678571
hs   | 0.00407038
ht   | 0.00932248
hu   | 0.02179622
hv   | 0.00512080
hw   | 0.00131303
hx   | 0.00000000
hy   | 0.02796744
hz   | 0.00262605
i.   | 0.14061352
ia   | 0.13812779
ib   | 0.00621434
ic   | 0.02875544
id   | 0.02485735
ie   | 0.09338455
if   | 0.00570589
ig   | 0.02417942
ih   | 0.00536693
ii   | 0.00463251
ij   | 0.00429354
ik   | 0.02513982
il   | 0.07598441
im   | 0.02412293
in   | 0.12010621
io   | 0.03321846
ip   | 0.00299418
iq   | 0.00293769
ir   | 0.04796339
is   | 0.07434608
it   | 0.03056325
iu   | 0.00615784
iv   | 0.01519688
iw   | 0.00045195
ix   | 0.00502796
iy   | 0.04400881
iz   | 0.01564883
j.   | 0.02448276
ja   | 0.50793103
jb   | 0.00034483
jc   | 0.00137931
jd   | 0.00137931
je   | 0.15172414
jf   | 0.00000000
jg   | 0.00000000
jh   | 0.01551724
ji   | 0.04103448
jj   | 0.00068966
jk   | 0.00068966
jl   | 0.00310345
jm   | 0.00172414
jn   | 0.00068966
jo   | 0.16517241
jp   | 0.00034483
jq   | 0.00000000
jr   | 0.00379310
js   | 0.00241379
jt   | 0.00068966
ju   | 0.06965517
jv   | 0.00172414
jw   | 0.00206897
jx   | 0.00000000
jy   | 0.00344828
jz   | 0.00000000
k.   | 0.07202381
ka   | 0.34345238
kb   | 0.00039683
kc   | 0.00039683
kd   | 0.00039683
ke   | 0.17757937
kf   | 0.00019841
kg   | 0.00000000
kh   | 0.06091270
ki   | 0.10099206
kj   | 0.00039683
kk   | 0.00396825
kl   | 0.02757937
km   | 0.00178571
kn   | 0.00515873
ko   | 0.06825397
kp   | 0.00000000
kq   | 0.00000000
kr   | 0.02162698
ks   | 0.01884921
kt   | 0.00337302
ku   | 0.00992063
kv   | 0.00039683
kw   | 0.00674603
kx   | 0.00000000
ky   | 0.07519841
kz   | 0.00039683
l.   | 0.09413956
la   | 0.18792091
lb   | 0.00372546
lc   | 0.00179109
ld   | 0.00988680
le   | 0.20927067
lf   | 0.00157616
lg   | 0.00042986
lh   | 0.00136123
li   | 0.17767588
lj   | 0.00042986
lk   | 0.00171944
ll   | 0.09636051
lm   | 0.00429861
ln   | 0.00100301
lo   | 0.04957730
lp   | 0.00107465
lq   | 0.00021493
lr   | 0.00128958
ls   | 0.00673449
lt   | 0.00551655
lu   | 0.02321249
lv   | 0.00515833
lw   | 0.00114630
lx   | 0.00000000
ly   | 0.11376988
lz   | 0.00071644
m.   | 0.07768744
ma   | 0.38994279
mb   | 0.01686239
mc   | 0.00767841
md   | 0.00361337
me   | 0.12315568
mf   | 0.00015056
mg   | 0.00000000
mh   | 0.00075279
mi   | 0.18909967
mj   | 0.00105390
mk   | 0.00015056
ml   | 0.00075279
mm   | 0.02529359
mn   | 0.00301114
mo   | 0.06805179
mp   | 0.00572117
mq   | 0.00000000
mr   | 0.01460403
ms   | 0.00526950
mt   | 0.00060223
mu   | 0.02092743
mv   | 0.00045167
mw   | 0.00030111
mx   | 0.00000000
my   | 0.04320988
mz   | 0.00165613
n.   | 0.36901839
na   | 0.16243793
nb   | 0.00043651
nc   | 0.01162220
nd   | 0.03841327
ne   | 0.07415289
nf   | 0.00060021
ng   | 0.01489606
nh   | 0.00141867
ni   | 0.09412342
nj   | 0.00240083
nk   | 0.00316473
nl   | 0.01064004
nm   | 0.00103672
nn   | 0.10399956
no   | 0.02706389
np   | 0.00027282
nq   | 0.00010913
nr   | 0.00240083
ns   | 0.01516888
nt   | 0.02417199
nu   | 0.00523817
nv   | 0.00300104
nw   | 0.00060021
nx   | 0.00032739
ny   | 0.02537240
nz   | 0.00791182
o.   | 0.10776405
oa   | 0.01877993
ob   | 0.01764558
oc   | 0.01436854
od   | 0.02394757
oe   | 0.01663726
of   | 0.00428535
og   | 0.00554575
